speech,emotion
개를 예쁘다고 사놓고 끝까지 키우지도 않고 버리는 사람들이 엄청 많아졌대.,Angry
지금도 그대로 있어. 치우는 사람이 없어.,Disgust
맞아. 무기력증인 것 같아. 한동안 정말 바빴었거든.,Sadness
오늘이 발표날인데 연락이 없더라고. 그래서 알아봤더니 명단에 내 이름이 없대.,Sadness
그치. 개 키우는 사람이 늘어나니까 그만큼 버리는 사람도 늘어나는 거야!,Angry
공채로 볼 수 있는 마지막 회사였어. 그래서 정말 많이 노력했거든.,Sadness
버려진 개가 워낙 많으니까 시설이 부족할 수 밖에 없고 당연히 상황이 너무 열악하지.,Angry
나 면접 또 떨어졌어.,Sadness
부모님께서 기대가 너무 크셔서 실망도 크실까봐 아직 말씀 못 드렸어.,Sadness
그렇지! 아 나 진짜 너무 싫어 그런 사람들. 대체 생명이 있는 개를 뭐라고 생각하는 거야?,Angry
지난 번에 토 해놓은 것도 관리하시는 분이 치우셨거든. 또 어떻게 말씀 드리지?,Disgust
해피가 어제 세상을 떠났어.	,Sadness
오늘은 아침부터 입맛이 없어서 아무것도 못 먹고 있어. 이따가 저녁에나 먹으려고.,Sadness
아빠가 또 다쳤어.,Sadness
그저께 밤에 갑자기 쓰러지더니 어제 끝내 눈을 감았어.,Sadness
난 잘하는 게 하나도 없나봐.,Sadness
퇴사고민을 같이 이야기할 사람이 아무도 없어.,Sadness
전혀 괜찮지가 않아 15년 동안 같이 지내 왔잖아 갑자기 그렇게 가니깐 다들 상실감이 큰가 봐.	,Sadness
밤새워 준비한 기획안을 또 퇴짜맞았어.,Sadness
나갔다 왔어. 선배가 커피 사준대서 마시고 왔지.,Sadness
맞아. 버려지는 대부분의 아이들이 다 큰 강아지들이었어. 아직도 그 상처 받은 눈들을 잊혀지지가 않아.,Sadness
나는 잘 하는 게 하나도 없나봐.,Sadness
맞아 좋은 곳으로 갔을 거라고 생각해. 정말 착하고 예쁜 아이였어.,Sadness
해피가 어제 세상을 떠났어.,Sadness
기획안 지적 받은 것만 몇 고치고 일찍 퇴근 좀 해 보려고.	,Sadness
나 면접 또 떨어졌어.,Sadness
그저께 밤에 갑자기 의식을 잃더라구. 그러더니 어제 끝내 눈을 감았어.,Sadness
정말 그런 날이 올 수 있을까? 난 정말 열심히 노력하는 사람이거든.,Sadness
어제 저녁에 진짜 무서웠어.,Fear
화장실에 누가 토해놓고 치우지도 않았어.,Disgust
나 그 사람이랑 헤어졌어. ,Sadness
오늘이 발표 날인데 연락이 없어서 알아봤더니 명단에 내 이름이 없대.,Sadness
권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그런데 알고봤더니 새로운 사람이 생긴 거였어.,Sadness
해피는 우리 집에 온 지 15년이 지났어 그러니 가족들 상실감은 이루 말할 수 없지.	,Sadness
해피가 어제 세상을 떠났어.,Sadness
많이 어렵지는 않았어. 하지만 내가 너무 부담스러웠었나봐. 내가 준비한 걸 다 못 보여줬어.,Sadness
정말 가고 싶은 회사여서 이 회사만 준비했어 그리고 공채로 보는 마지막 회사였기 때문에 다른 회사는 또 없어.	,Sadness
3년 전에 친구 소개로 만나게 되었어.	,Sadness
아직 경황이 없어서 작년까지는 생각을 못 해봤어 아빠가 준비하실 거야.	,Sadness
그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어제 끝내 눈을 감았어. ,Sadness
부모님께서 기대가 너무 크셔서 말씀 못 드렸어.,Sadness
맞아. 좋은 곳으로 갔을 것 같애. 정말 착하고 예쁜 아이였어.,Sadness
15년을 키운 강아지잖아. 가족들 마음에 많이 힘들어 해.,Sadness
해피가 어제 세상을 떠났어.,Sadness
앞날이 불안해서 그런가 입맛도 없어. 이따 저녁에 부모님과 같이 먹어야지. 그리고 말씀 드려야되겠지.,Sadness
헤어진 지 이제 두 달 다 돼가 그런데 잊혀지지가 않아.,Sadness
시간이 지나면 잊혀지겠지만 지금은 가슴이 너무 찢어져.,Sadness
나 그 사람이랑 헤어졌어.,Sadness
그 사람한테 받은 상처가 커서 금방 잊혀질 줄 알았는데 마음 정리가 정말 쉽지가 않아.,Sadness
알아. 좋은 곳으로 갔을 거라고 우리도 믿어. 정말 착한 아이였거든.,Sadness
어제 저녁에 진짜 무서웠어.,Fear
어제 지진 났어. 너도 느꼈니?,Fear
"당연히 화는 내봤지. 화 낼 때마다 미안하고는 해. 다음엔 같이 하겠다고 하고. 또, 그러고는 또 나가. 이해할 수 없는 반복을 계속 해.",Angry
누가 화장실에 토해냈어!,Disgust
약속을 잡을 때마다 매번 늦어. 그래서 너무 화가 나.,Angry
응 어제밤에 누가 토 해놨나봐! 아직 그대로 있어!,Disgust
"친구가 약속 시간에 늦어도 내가 매번 참고 넘어갔는데, 이번에는 친구한테 이야기 좀 해봐야겠어.",Angry
누가 화장실에 토를 하고 안 치웠어!,Disgust
